Source_PDF,English,PSA_Probability
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"As at the period ending 30 th June, 2024, recurrent expenditures by the State Department for Basic Education, Higher Education and Research; Teachers Service Commission; Vocational and Technical Training; Public Health and Professional Standards; labour and Skills Development; correctional service; Youth Affairs and Arts; and Sports; Social Protection and Senior Citizens; Immigration and Citizen Services and Medical Services (Social Sector) accounted for 47.9 percent of total recurrent expenditure.",0.9403
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"As at the period ending 30 th June, 2024, recurrent expenditures by the State Department for Basic Education, Higher Education and Research; Teachers Service Commission; Vocational and Technical Training; Public Health and Professional Standards; labour and Skills Development; correctional service; Youth Affairs and Arts; and Sports; Social Protection and Senior Citizens; Immigration and Citizen Services and Medical Services (Social Sector) accounted for 47.9 percent of total recurrent expenditure.",0.9403
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"First, the Government continues to address fiscal risks associated with public debt, maintaining sustainable levels to avoid undue pressure on public finances.",0.939
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"First, the Government continues to address fiscal risks associated with public debt, maintaining sustainable levels to avoid undue pressure on public finances.",0.939
bulk_notice_8_PUBLIC-NOTICE%203.pdf,"In line with Articles 232(1)(d) of the Constitution, the National Treasury hereby invites procurement practitioners, members of the public, national and county governments, non-governmental organizations and civil societies, private sector players and stakeholders to submit comments, views and memoranda on the proposed areas for review of the Act with a view to enhance fairness, transparency, competitiveness, cost- effectiveness and eradicate avenues of corruption, conflict of interest and abuse of office in the public sector public procurement as required in Article 227 of the Constitution, all geared towards obtaining value for money.",0.9361
bulk_notice_33_PUBLIC-NOTICE%202.pdf,"In line with Articles 232(1)(d) of the Constitution, the National Treasury hereby invites procurement practitioners, members of the public, national and county governments, non-governmental organizations and civil societies, private sector players and stakeholders to submit comments, views and memoranda on the proposed areas for review of the Act with a view to enhance fairness, transparency, competitiveness, cost- effectiveness and eradicate avenues of corruption, conflict of interest and abuse of office in the public sector public procurement as required in Article 227 of the Constitution, all geared towards obtaining value for money.",0.9361
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"iii) To ensure effective, efficient and economic use of public resources allocated in FY 2023/24 25.",0.9354
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"iii) To ensure effective, efficient and economic use of public resources allocated in FY 2023/24 25.",0.9354
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,4.6 County Governments (i) Support capacity building of MSMEs within their jurisdiction; and (ii) Support formalization of MSMEs to enable them access guaranteed facilities.,0.9333
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,The rollout to County Govermnments will commence thereafter.,0.9295
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,I also urge all SWGs to ensure engagement and open public and stakeholders’ participation and incorporation of their comments or suggestions in the development of sector priorities for the FY 2025/26 and the medium term budget.,0.9248
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,I also urge all SWGs to ensure engagement and open public and stakeholders’ participation and incorporation of their comments or suggestions in the development of sector priorities for the FY 2025/26 and the medium term budget.,0.9248
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"These sectors include Agriculture, Roads and Transport, Urban Development and Housing, Energy, Water, Information, Communication Technologies (ICT), and Health.",0.9242
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"These sectors include Agriculture, Roads and Transport, Urban Development and Housing, Energy, Water, Information, Communication Technologies (ICT), and Health.",0.9242
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Aware that sustainable economic transformation is predicated on timely implementation of appropriate policy, legal and institutional reforms, I propose the following interventions that will improve business environment, increase efficiency in public service delivery and strengthen accountability and transparency in public finance management.",0.9239
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,The training focussed on: county budgeting process; Government Financial Statistics 2014; financial reporting; public procurement; and audit and compliance with fiscal responsibility principles.,0.9237
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,The training focussed on: county budgeting process; Government Financial Statistics 2014; financial reporting; public procurement; and audit and compliance with fiscal responsibility principles.,0.9237
bulk_notice_23_PUBLIC-NOTICE-DRAFT-GOVERNMENT-INVESTMENTS-REGULATION-2024-Qtr_1.pdf,"Pursuant to the provisions of the Constitution of Kenya and all other relevant legal requirements, the National Treasury invites members of the public to submit written comments and/or memoranda on the draft Government Investment Regulations 2024 in the format provided on the website, and send them to: giregulations@treasury.go.ke or, by hand delivery or by post to the following address on or before close of business on 30 th September 2024: Principal Secretary National Treasury P.O Box 30007 – 00100 NAIROBI Further, members of the public are invited to attend in-person public consultations on the Regulations at any of the venues indicated below that is convenient or as per the schedule below: THE NATIONAL TREASURY & ECONOMIC PLANNING DRAFT GOVERNMENT INVESTMENTS REGULATION, 2024 PUBLIC NOTICE HON.",0.9225
bulk_notice_30_PUBLIC-NOTICE-DRAFT-GOVERNMENT-INVESTMENTS-REGULATION-2024-Qtr_0.pdf,"Pursuant to the provisions of the Constitution of Kenya and all other relevant legal requirements, the National Treasury invites members of the public to submit written comments and/or memoranda on the draft Government Investment Regulations 2024 in the format provided on the website, and send them to: giregulations@treasury.go.ke or, by hand delivery or by post to the following address on or before close of business on 30 th September 2024: Principal Secretary National Treasury P.O Box 30007 – 00100 NAIROBI Further, members of the public are invited to attend in-person public consultations on the Regulations at any of the venues indicated below that is convenient or as per the schedule below: THE NATIONAL TREASURY & ECONOMIC PLANNING DRAFT GOVERNMENT INVESTMENTS REGULATION, 2024 PUBLIC NOTICE HON.",0.9225
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"Once operationalized, this will ensure accountability and transparency in OSR management and standardization of financial reporting in government.",0.9201
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"Once operationalized, this will ensure accountability and transparency in OSR management and standardization of financial reporting in government.",0.9201
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,Article 201 of the Constitution requires transparency and public participation in preparation of policies that affects the public.,0.9199
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,Article 201 of the Constitution requires transparency and public participation in preparation of policies that affects the public.,0.9199
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"3.3 Interventions to Address Information Asymmetry To address information asymmetry between lenders and MSMEs for ease of access to credit, the Government will: (i) Establishment of MSME outreach centres; (ii) Support in building capacity of MSMEs to encourage their formalization; (iii) Create a database for all MSMEs; (iv) Strengthen credit information sharing mechanisms; (v) Support harmonization of business registration requirements in all Counties; and (vi) Support digitization of MSME business registration services and integration with FIs.",0.9198
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Five, reviewing insurance schemes (Edu Afya, Indigents, Public Service, Police and Prisons, Commissions and Independent Offices) under the Universal Health Coverage and align them to the Social Health Insurance Fund; vi.",0.9169
bulk_notice_23_PUBLIC-NOTICE-DRAFT-GOVERNMENT-INVESTMENTS-REGULATION-2024-Qtr_1.pdf,"CPA JOHN MBADI NG’ONGO, EGH CABINET SECRETARY REGION VENUE DATE TIME Nyeri, Murang’a, Kirinyaga, Laikipia, Meru, Embu, Tharaka-Nithi, Isiolo, Marsabit and Samburu Embu: Kenya School Govern- ment (KSG) 23 rd September 2024 9am – 1pm Nakuru, Baringo, Uasin Gishu, Elgeyo Marakwet, Nandi, West Pokot, Turkana and Trans-Nzoia Eldoret: Town Hall 23 rd September 2024 9am – 1pm Mombasa, Kwale, Kilifi, Lamu, Tana River, Taita Taveta Mombasa: Kenya School Government (KSG) 23 rd September 2024 9am – 1pm Kisumu, Kisii, Migori, Homa Bay, Nyamira, Siaya, Vihiga, Bungoma, Kakamega, Busia, Bomet, Kericho and Narok Kisumu: Tom Mboya Labour College 25 th September 2024 9am – 1pm Garissa, Wajir and Mandera Garissa: Guest House 25th September 2024 9am – 1pm Nairobi, Kiambu, Kajiado, Wajir, Mandera Nairobi: Kenya School Government (KSG) 30 th September 2024 9am – 1pm",0.9158
bulk_notice_30_PUBLIC-NOTICE-DRAFT-GOVERNMENT-INVESTMENTS-REGULATION-2024-Qtr_0.pdf,"CPA JOHN MBADI NG’ONGO, EGH CABINET SECRETARY REGION VENUE DATE TIME Nyeri, Murang’a, Kirinyaga, Laikipia, Meru, Embu, Tharaka-Nithi, Isiolo, Marsabit and Samburu Embu: Kenya School Govern- ment (KSG) 23 rd September 2024 9am – 1pm Nakuru, Baringo, Uasin Gishu, Elgeyo Marakwet, Nandi, West Pokot, Turkana and Trans-Nzoia Eldoret: Town Hall 23 rd September 2024 9am – 1pm Mombasa, Kwale, Kilifi, Lamu, Tana River, Taita Taveta Mombasa: Kenya School Government (KSG) 23 rd September 2024 9am – 1pm Kisumu, Kisii, Migori, Homa Bay, Nyamira, Siaya, Vihiga, Bungoma, Kakamega, Busia, Bomet, Kericho and Narok Kisumu: Tom Mboya Labour College 25 th September 2024 9am – 1pm Garissa, Wajir and Mandera Garissa: Guest House 25th September 2024 9am – 1pm Nairobi, Kiambu, Kajiado, Wajir, Mandera Nairobi: Kenya School Government (KSG) 30 th September 2024 9am – 1pm",0.9158
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Agriculture and Food Authority 20.08.2024 2.00 p.m.,0.9129
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,15 2.1 Historical MSME access to credit in Kenya .......................................................................................,0.9105
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,Installed solar panels on health centers to provide reliable access to electricity.,0.9101
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,(xi) Support MSMEs to participate in the value chain by promoting market access.,0.909
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,2.3 Interventions to address access to credit Interventions to address access to credit in Kenya were initiated in the 1960s when the Government implemented the Guaranteed Minimum Returns Scheme (GMRs) for selected cash crop farmers.,0.9083
bulk_notice_37_Public-Notice-Wildlife-Conversation-Fund-final.pdf,2 of 2023 on the Organization of Government of the Republic of Kenya.,0.9063
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Bureau of Standards 22.08.2024 3.00 p.m.,0.9058
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,The growth in 2024 and 2025 will benefit from the enhanced agricultural productivity and a resilient services sector.,0.9037
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,The growth in 2024 and 2025 will benefit from the enhanced agricultural productivity and a resilient services sector.,0.9037
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"In this regard , the National Treasury conducted regional trainings on public finance management targeting County Executive in the FY 2023/24.",0.9034
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"In this regard , the National Treasury conducted regional trainings on public finance management targeting County Executive in the FY 2023/24.",0.9034
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,2.1 Historical MSME access to credit in Kenya MSMEs play a critical role in Kenya’s economic development and employment creation.,0.9033
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"However, the Council of Governors in their submission to the Senate Select Committee on County Public Investments and Special Funds ind icated that the counties owed Ksh 40.5 billion as at March 2023.",0.9022
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"However, the Council of Governors in their submission to the Senate Select Committee on County Public Investments and Special Funds ind icated that the counties owed Ksh 40.5 billion as at March 2023.",0.9022
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"To further strengthen management of public resources, the Government is in the process of transitioning from cash to accrual basis to improve cash management and enhance financial and fiscal reporting.",0.9005
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"To further strengthen management of public resources, the Government is in the process of transitioning from cash to accrual basis to improve cash management and enhance financial and fiscal reporting.",0.9005
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"To further strengthen management of public resources, the Government is in the process of transitioning from cash to accrual basis to improve cash management and enhance financial and fiscal reporting.",0.9005
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"To further strengthen management of public resources, the Government is in the process of transitioning from cash to accrual basis to improve cash management and enhance financial and fiscal reporting.",0.9005
bulk_notice_8_PUBLIC-NOTICE%203.pdf,"The said legal framework which has been in operation for period of 9 years, has been critical in streamlining the Public Procurement system in Kenya, inter alia, providing for efficient public procurement; providing clarity on the public procurement procedures and methods; emphasizing the role of professionals in public procurement; streamlining the roles and responsibilities of various actors in public procurement ; providing for eProcurement; and laying emphasis on robust contract management and Asset Management.",0.9002
bulk_notice_33_PUBLIC-NOTICE%202.pdf,"The said legal framework which has been in operation for period of 9 years, has been critical in streamlining the Public Procurement system in Kenya, inter alia, providing for efficient public procurement; providing clarity on the public procurement procedures and methods; emphasizing the role of professionals in public procurement; streamlining the roles and responsibilities of various actors in public procurement ; providing for eProcurement; and laying emphasis on robust contract management and Asset Management.",0.9002
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,Continued Support to Counties for Enhanced Service Delivery The National Government continues to support the County Governments to en sure that devolution succeeds.,0.9001
notice_0_MEDIUM-TERM20PREPARATION%20PROCESS---Qtr.pdf,Members of the public are encouraged to follow live updates and coverage via the National Treasury’s official social media channels.,0.898
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,"The Government Owned Enterprises Bill, 2024 2 PART V—PUBLIC SERVICE OBLIGATIONS 29— Public Service Obligations.",0.8973
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, to expand access to clean and adequate water for domestic and agricultural use, I have proposed an allocation of Ksh 36.6 88 billion for water and sewerage infrastructure development; Ksh 12.5 billion for water resources management; and Ksh 1.9 billion for water storage and flood control.",0.8961
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"Allocation of the Ksh 400.1 billion Equitable share for each County Government 15 THE NATIONAL TREASURY AND ECONOMIC PLANNING Financial Year 2024/25 PUBLIC EXPENDITURE TRACKING Total Government Budget Ksh 3,992.0 bn Social Safety Nets Ksh 33.1 bn Council for Persons with Disability Ksh 0.6 bn Children Welfare Society Ksh 0.8 bn Elderly Persons Ksh 18.6 bn Hunger Safety Net Ksh 1.5 bn Presidential Secondary School Bursary Scheme Ksh 0.4 bn Orphans and Vulnerable Children Ksh 7.9 bn Severe Disability Ksh 1.2 bn Public Admin & International Relations Ksh 344.4 bn Health Ksh 127.0 bn Judiciary Ksh 24.6 bn GJLO Ksh 247.8 bn Education Ksh 656.6 bn National Security Ksh 219.4 bn Energy, Infrastructure & ICT Ksh 477.2 bn Agriculture and Food Security Ksh 84.9 bn Parliament Ksh 44.6 bn NG-CDF Ksh 63.0 bn Social Protection and Affirmative Action Ksh 68.0 bn General Economic and Commercial Affairs Ksh 43.1 bn County Shareable Revenue Ksh 400.1 bn Interest Payments, Pensions and Net lending Ksh 1,213.4 bn Environment Protection, Water and Natural Resources Ksh 110.1 bn Equalization Fund Ksh 8.0 bn Social & Economic Inclusion Project Ksh 1.9 bn National Drought Emergency Fund Ksh 0.2 bn 16 THE NATIONAL TREASURY AND ECONOMIC PLANNING Financial Year 2024/25 Value Added Tax Measures  Increase the VAT registration threshold from Kshs.",0.8961
bulk_notice_29_Public-Notice-Legislative-Reforms-for-the-improvement-of-the-economic-situation.pdf,"412A) requires participation by the public in the budget process; and RECOGNISING the burdens and benefits of the use of resources, raising revenue and managing expenditure equitably; NOW THEREFORE , in compliance with Article 201(a) and 232(1)(d) of the Constitution, and section 35(2) of the Public Finance Management Act, (Cap 412A), the National Treasury hereby invites the members of the public, the national government and county governments, non -governmental organizations, civil 2 societies, professional bodies, private sector players , religious groups and other stakeholders to make submissions on the following: - 1.",0.8954
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,Implementation of Public Service Obligations.,0.8946
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,PART V—PUBLIC SERVICE OBLIGATIONS Public Service Obligations.,0.8946
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"In addition, it aims to transform farmers from food deficit to surplus producers through input finance, subsidies and intensive agricultural extension support; raise the productivity of key food value chains; reduce dependence on basic food imports; revamp under-performing export crops and expand to new high value emerging crops; and boost tea value chain through blending and branding.",0.8945
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Accreditation Services 23.08.2024 9:00 a.m- 9:30 a.m.,0.8935
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,"In this respect, the Policy was subjected to public participation to ensure that the policy guidelines spelt herein are demand driven and in sync with the evolving needs of taxpayers and all citizens.",0.8935
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, achieving a prosperous Kenya also requires leadership and support of every Kenyan.",0.8935
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,"In this respect, the Policy was subjected to public participation to ensure that the policy guidelines spelt herein are demand driven and in sync with the evolving needs of taxpayers and all citizens.",0.8935
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"Credit Guarantees are a key policy tool that many countries use to enhance MSMEs access to finance, while limiting the burden on public finances.",0.8926
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Kenyans responded to our call and requested the Government to address, through this budget : the devastating effects of the ongoing floods; taxation concerns and cost of living ; unemployment; protection of the poor and the vulnerable; and reduc tion of wastage in public expenditures at the National and County Governments.",0.8924
bulk_notice_35_Press-release-Cash-Accrual.pdf,"The Treasury will support this transition by providing guidance on asset and liability valuat ion, enhancing the Integrated Financial Management Information System (IFMIS), and building capacity among public sector personnel.",0.8919
bulk_notice_34_Press-release-Cash-Accrual_0.pdf,"The Treasury will support this transition by providing guidance on asset and liability valuat ion, enhancing the Integrated Financial Management Information System (IFMIS), and building capacity among public sector personnel.",0.8919
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Marine and Fisheries Research Institute 19.08.2024 2:30 p.m.,0.8914
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"Moreover, remittance inflows to Kenya are projected to remain resilient, providing further support to household incomes.",0.8902
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"Moreover, remittance inflows to Kenya are projected to remain resilient, providing further support to household incomes.",0.8902
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Water Institute 28.08.2024 12:15 p.m.,0.8893
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Fisheries Services 20.08.2024 9:00 a.m.- 9:30 a.m.,0.8889
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Dairy Board 19.08.2024 12:15 p.m.,0.8873
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,Legal Risk -Court cases relating to implementation of this Policy H • Public participation to create awareness on public policies identified for implementation; • Timely representation of Government by the Attorney General’s office; • Capacity building of the Judiciary on the proposed policy; and • Structured engagement with the judiciary to facilitate faster resolution of such cases.,0.8867
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,Legal Risk -Court cases relating to implementation of this Policy H • Public participation to create awareness on public policies identified for implementation; • Timely representation of Government by the Attorney General’s office; • Capacity building of the Judiciary on the proposed policy; and • Structured engagement with the judiciary to facilitate faster resolution of such cases.,0.8867
bulk_notice_28_Advert-Sector-Launch-2025-2026-and-MTEF.pdf,"This is in accordance with Article 201 of the Constitution and Section 35 (2) of the Public Finance Management Act, 2012 which requires public participation on all public finance matters.",0.8865
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Leather Development Council 19.08.2024 11:15 a.m.,0.8856
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Fishing Industries Corporation 19.08.2024 3.00 p.m.,0.8849
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Towards actualising development objectives to the public, the Government in March 2024 20 launched the Fourth Medium Term Plan (MTP IV) for the period 2023-2027.",0.8849
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"Similarly, the Kenya Shilling underperformed in all EAC regional currencies over the period under consideration.",0.8846
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"Similarly, the Kenya Shilling underperformed in all EAC regional currencies over the period under consideration.",0.8846
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"On the other hand, G overnment will sustain measures to improve efficiency in public spending and reduce non-essential expenditures.",0.8844
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"On the other hand, G overnment will sustain measures to improve efficiency in public spending and reduce non-essential expenditures.",0.8844
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"Key allocations in this budget include: Ksh 10.0 billion Fertilizer Subsidy Programme; Ksh 647 million Small Scale Irrigation and Value Addition Project; Ksh 2.5 billion Emergency Locusts Response; Ksh 2.4 billion Enable Youth and Women in Agriculture; Ksh 6.1 billion National Agricultural Value Chain Development Project (NAVCDP); Ksh 642 million Food Security and Crop Diversification Project; Ksh 12.3 billion Livestock Resources Management and Development; 1.Agricultural Transformation and Inclusive Growth To implement BETA, the Government has identified nine key value chain areas for implementation, namely: (i) Leather and Leather Products; (ii) Textile and Apparel; (iii) Dairy; (iv) Edible Oils; (v) Tea; (vi) Rice; (vii) Blue Economy; (viii) Natural Resources Including Minerals & Forestry); and (ix) Construction and B uilding Materials.",0.884
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, in order to increase efficiency and effectiveness of the public spending, the Government will continue to implement Public Investment Management Regulations at the National Government and commence roll -out to the County Governments.",0.8828
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"In the wake of covid -19 pandemic, the government rolled out the Credit Guarantee Scheme (CGS) for MSMEs in 2020 as part of the Economic Stimulus Program to support MSMEs access quality and affordable credit.",0.8822
