English,Kiswahili,Domain
"NPS launched an online portal providing access to oversight reports, misconduct statistics, complaint status, and disciplinary actions.","NPS ilizindua lango la mtandaoni linalotoa ufikiaji wa ripoti za usimamizi, takwimu za utovu wa nidhamu, hali ya malalamiko, na hatua za kinidhamu.",Security
"KNEC opens KCSE remarking window ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pay Ksh 1,000 per paper before Nov 30!","KNEC yafungua dirisha la kuashiria KCSE ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ lipa Ksh 1,000 kwa kila karatasi kabla ya Novemba 30!",Education
"The climate-smart management of orchards and plantations involves the efficient use of water and energy for husbandry operations, and the transportation and ...","Usimamizi wa bustani na mashamba unaozingatia hali ya hewa unahusisha matumizi bora ya maji na nishati kwa shughuli za ufugaji, na usafiri na ...",Agriculture
"Religious leaders under World Council of Churches urge governments and donor countries to increase Global Fund support, to aid sustainable responses to HIV, tuberculosis, and malaria.","Viongozi wa kidini chini ya Baraza la Makanisa Duniani wanahimiza serikali na nchi wafadhili kuongeza usaidizi wa Mfuko wa Dunia, ili kusaidia majibu endelevu kwa VVU, kifua kikuu, na malaria.",Health
"It also positions the country as a leader in advancing innovative approaches to disaster risk management in Africa, ensuring that individuals and institutions are empowered to anticipate and respond to disasters before they occur.","Pia inaiweka nchi kama kiongozi katika kuendeleza mbinu bunifu za udhibiti wa hatari za maafa barani Afrika, kuhakikisha kuwa watu binafsi na taasisi wanawezeshwa kutarajia na kukabiliana na majanga kabla hayajatokea.",Disaster/Health
"Schools must implement protection policies, anti-bullying systems, and counseling services to safeguard learners.","Shule lazima zitekeleze sera za ulinzi, mifumo ya kupambana na uonevu, na huduma za ushauri nasaha ili kuwalinda wanafunzi.",Security
KNEC releases KCSE 2025 marking scheme early ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ download before leak!,KNEC yatoa mpango wa kusahihisha KCSE 2025 mapema ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ pakua kabla ya kuvuja!,Education
"The forming of dairy cooperatives will enhance economies of scale, provide access to the market and financing. Cooperatives create more ...","Kuanzishwa kwa vyama vya ushirika vya maziwa kutaimarisha uchumi wa kiwango, kutoa ufikiaji wa soko na ufadhili. Vyama vya ushirika huunda zaidi ...",Agriculture
"Emergency contacts are: Police (999), Ambulance (911), Fire (990).","Watu wa dharura wanaowasiliana nao ni: Polisi (999), Ambulensi (911), Zimamoto (990).",Security
Exploring the Nexus between Climate hazards and Conflict in Lamu County: Implications for Community Adaptation Action Plans,Kuchunguza Uhusiano kati ya Hatari za Hali ya Hewa na Migogoro katika Kaunti ya Lamu: Athari kwa Mipango ya Kitendo ya Kukabiliana na Jamii.,Disaster/Health
Mandera County: Drought Early Warning Bulletin for January 2024,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2024,Disaster/Health
"WFP Kenya Country Brief, January 2024","Muhtasari wa Nchi wa WFP Kenya, Januari 2024",Disaster/Health
The Ministry of Health aims to scale the uptake of the malaria vaccine among children aged between 6 months to 14 years.,Wizara ya Afya inalenga kuongeza idadi ya watoto wanaotumia chanjo ya malaria miongoni mwa watoto wenye umri kati ya miezi 6 hadi miaka 14.,Health
Lamu County: Drought Early Warning Bulletin for July 2023,Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2023,Disaster/Health
Educate students! Teach flood safety in schools.,Elimisha wanafunzi! Fundisha usalama wa mafuriko shuleni.,Education
"The government must facilitate people's right to protest, an important way for citizens to express themselves and participate in governance processes,' said Mugambi Kiai, ARTICLE 19 Eastern Africa Regional Director.","Serikali lazima irahisishe haki ya watu ya kuandamana, njia muhimu kwa raia kujieleza na kushiriki katika michakato ya utawala,' alisema Mugambi Kiai, MAKALA YA 19 Mkurugenzi wa Kanda ya Afrika Mashariki.",Governance
Engage in activities that promote mental health awareness and advocacy. This can help create a sense of belonging and purpose.,Shiriki katika shughuli zinazokuza ufahamu na utetezi wa afya ya akili. Hii inaweza kusaidia kujenga hisia ya kuwa wa kipekee na kusudi.,Health
"Despite their efforts, the group members had struggled to make meaningful progress, particularly because they lacked clear rules for managing savings and loans.","Licha ya juhudi zao, wanakikundi walitatizika kupata maendeleo ya maana, hasa kwa sababu hawakuwa na sheria wazi za kusimamia akiba na mikopo.",Disaster/Health
All schools must conduct fire drill before Dec 20 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ no excuses!,"Shule zote lazima zifanye mazoezi ya kuzima moto kabla ya Desemba 20 ""hakuna visingizio!"" Hakuna visingizio!",Education
"""DCI confirms arrests of fake NGO representatives claiming to partner with World Food Programme in Northern Kenya. Always verify through official NGO registry.""","""DCI inathibitisha kukamatwa kwa wawakilishi bandia wa mashirika yasiyo ya kiserikali wanaodai kushirikiana na Mpango wa Chakula Duniani Kaskazini mwa Kenya. Daima thibitisha kupitia usajili rasmi wa mashirika yasiyo ya kiserikali.""",Security
New community policing head Judy Jebet appointed to lead COP efforts in Nairobi County,Mkuu mpya wa polisi jamii Judy Jebet ateuliwa kuongoza juhudi za COP katika Kaunti ya Nairobi,Security
Kenya | Hunger Crisis 2021-2022 - Appeal No: MDRKE049 - Operational Strategy (18 July 2021 to 31 July 2023),Kenya | Mgogoro wa Njaa 2021-2022 - Nambari ya Rufaa: MDRKE049 - Mkakati wa Uendeshaji (18 Julai 2021 hadi 31 Julai 2023),Disaster/Health
Tharaka Nithi County: Drought Early Warning Bulletin for October 2022,Kaunti ya Tharaka Nithi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2022,Disaster/Health
Kwale County: Drought Early Warning Bulletin for December 2022,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Desemba 2022,Disaster/Health
Keep children away from open flames and hot surfaces in the kitchen.,Weka watoto mbali na miali ya moto na sehemu zenye joto jikoni.,Security
"Free revision camp for 20,000 KCSE candidates starts Dec 1 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ register now!","Kambi ya bure ya marekebisho kwa watahiniwa 20,000 wa KCSE inaanza Desemba 1 âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ jiandikishe sasa!",Education
"""The Ministry of Education reiterates that bursary forms are distributed freely and do not require payment. Any demand for money should be reported.""","""Wizara ya Elimu inasisitiza kwamba fomu za ufadhili wa masomo zinasambazwa kwa uhuru na hazihitaji malipo. Ombi lolote la pesa linapaswa kuripotiwa.""",Security
"Almost 1 Million People in Kenya, Burundi, Tanzania, and Somalia Affected as Unprecedented Heavy Rains Continue to Wreak Havoc in Eastern Africa","Takriban Watu Milioni 1 Nchini Kenya, Burundi, Tanzania na Somalia Waathiriwa na Mvua kubwa Isiyo na Kifani Kuendelea Kusababisha Machafuko Afrika Mashariki.",Disaster/Health
"WFP Kenya Country Brief, October 2023","Muhtasari wa Nchi wa WFP Kenya, Oktoba 2023",Disaster/Health
"Women play a crucial role in dairy. Learn about specific programs, resources, and markets targeting women in agriculture.","Wanawake wana jukumu muhimu katika sekta ya maziwa. Jifunze kuhusu programu, rasilimali, na masoko mahususi yanayowalenga wanawake katika kilimo.",Agriculture
Always have a working flashlight and extra batteries at home.,Daima uwe na tochi inayofanya kazi na betri za ziada nyumbani.,Security
Kenya: Deaths during protests deeply concerning,Kenya: Vifo wakati wa maandamano yanayohusu sana,Disaster/Health
Kenya: Solutions & Mobility Index — Mandera & Wajir Counties (December 2024 – January 2025),Kenya: Kielezo cha Masuluhisho na Uhamaji - Kaunti za Mandera na Wajir (Desemba 2024 - Januari 2025),Disaster/Health
National Drought Early Warning Bulletin (October 2023),Taarifa ya Onyo la Mapema la Kitaifa (Oktoba 2023),Disaster/Health
"Read on WRA warns land grabbers targeting protected dunes KNA2 October 7, 2025 Counties , Environment , Lamu 0 Water Resources Authority (WRA) has issued a directive to individuals illegally occupying and subdividing gazzetted wetlands and sand dunes in Lamu County, ordering cease such activities or face prosecution.","Soma kuhusu WRA yaonya wanyakuzi wa ardhi wanaolenga matuta yaliyolindwa KNA2 Oktoba 7, 2025 Kaunti , Mazingira , Lamu 0 Mamlaka ya Rasilimali za Maji (WRA) imetoa agizo kwa watu binafsi wanaokaa na kugawanya kinyume cha sheria maeneo oevu na matuta ya mchanga yaliyotengwa na serikali katika Kaunti ya Lamu, ikiamuru kusitisha shughuli hizo au kushtakiwa.",Governance
Do not leave cooking utensils uncovered when using cooking oil.,Usiache vyombo vya kupikia vikiwa vimefunikwa unapotumia mafuta ya kupikia.,Security
The United Kingdom advises visitors to remain vigilant due to terrorism threats targeting public areas.,Uingereza inawashauri wageni kuendelea kuwa macho kutokana na vitisho vya ugaidi vinavyolenga maeneo ya umma.,Security
"Despite localized improvements following the March–May rains, drought remains acute in northern counties such as Mandera and Wajir.","Licha ya uboreshaji wa ndani kufuatia mvua ya Machi-Mei, ukame unaendelea kuwa mkali katika kaunti za kaskazini kama vile Mandera na Wajir.",Disaster/Health
"WFP Kenya Country Brief, April 2025","Muhtasari wa Nchi wa WFP Kenya, Aprili 2025",Disaster/Health
"Through the project, FAO aims to deliver unconditional cash transfers and enhance access to animal health services for vulnerable households in Garissa, Isiolo, Samburu and Tana River counties.","Kupitia mradi huo, FAO inalenga kuwasilisha uhamisho wa pesa bila masharti na kuimarisha upatikanaji wa huduma za afya ya wanyama kwa kaya zilizo hatarini katika kaunti za Garissa, Isiolo, Samburu na Tana River.",Health
Voices of the People: Impediments to Peace and Community Resilience in Wajir County,Sauti za Watu: Vikwazo vya Amani na Ustahimilivu wa Jamii katika Kaunti ya Wajir,Disaster/Health
Free Adobe Creative Cloud for all university students ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ claim with .ac.ke email NOW!,Wingu la Bure la picha na vikaragosi…. Adobe Creative kwa wanafunzi wote wa vyuo vikuu âƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ dai kwa barua pepe ya .ac.ke SASA!,Education
Terrorist attacks are more likely during major holidays and the public is urged to maintain heightened awareness and avoid crowded spaces.,Mashambulizi ya kigaidi yana uwezekano mkubwa wa kutokea wakati wa sikukuu kuu na umma unahimizwa kudumisha uelewa mkubwa na kuepuka nafasi zilizojaa watu.,Security
Official media brief on latest DHS findings showing decline; call to re-invest in maternity supports and lactation facilities.,Taarifa rasmi kwa vyombo vya habari kuhusu matokeo ya hivi karibuni ya DHS yanayoonyesha kupungua; wito wa kuwekeza tena katika vituo vya usaidizi wa uzazi na unyonyeshaji.,Health
Celebrate education milestones 2025.,Sherehekea hatua muhimu za elimu 2025.,Education
"This session focused on promoting sustainable agriculture and building the support needed for STI. Governments were lauded for developing policies, institutions ...","Kikao hiki kililenga kukuza kilimo endelevu na kujenga usaidizi unaohitajika kwa ajili ya Sayansi, Teknolojia na Uvumbuzi (STU). Serikali zilipongezwa kwa kuendeleza sera, taasisi ...",Agriculture
Creating epicentres for peace in the North Rift Region in Kenya,Kuunda vitovu vya amani katika Mkoa wa Kaskazini mwa Ufa nchini Kenya,Disaster/Health
IFAD President and President of Kenya agree to accelerate agriculture and adapt to climate crisis,Rais wa IFAD na Rais wa Kenya wakubali kuharakisha kilimo na kukabiliana na hali ya hewa,Disaster/Health
Nearly 45 per cent of the world's natural disasters occur in the region. test Blog Â· Digital agriculture: key to helping small-scale producers ...,Karibu asilimia 45 ya majanga ya asili duniani hutokea katika eneo hilo. Blogu ya majaribio Â· Kilimo cha kidijitali: ufunguo wa kuwasaidia wazalishaji wadogo ...,Agriculture
Turkana County: Drought Early Warning Bulletin for May 2023,Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2023,Disaster/Health
Building resilience in Dadaab: workshop builds capacity of local leaders to tackle urban risks,Kujenga ustahimilivu katika Dadaab: warsha hujenga uwezo wa viongozi wa mitaa kukabiliana na hatari za mijini,Disaster/Health
Integrate values education 2022.,Unganisha thamani za elimu 2022.,Education
Kenya - Northern Kenya: Drought Severity and Population Exposure in Turkana County (28 Jan 2026),Kenya - Kaskazini mwa Kenya: Ukali wa Ukame na Mfichuo wa Idadi ya Watu katika Kaunti ya Turkana (28 Januari 2026),Disaster/Health
Government of Kenya Must Avoid Repeat of History and Prevent Electoral Violence: PHR,Serikali ya Kenya Lazima Iepuke Kurudiwa kwa Historia na Kuzuia Ghasia za Uchaguzi: PHR,Security
"The recent accusations against Francis Awino of Bunge la Mwananchi have raised critical questions about the independence of the EACC. Civil society urges accountability, not weaponized state machinery.","Shutuma za hivi karibuni dhidi ya Francis Awino wa Bunge la Mwananchi zimeibua maswali muhimu kuhusu uhuru wa EACC. Asasi za kiraia zinahimiza uwajibikaji, si silaha za serikali.",Governance
"Pregnant women are encouraged to sleep under insecticide-treated nets and take preventive medication to avoid malaria, which poses risks to both mother and baby.","Wanawake wajawazito wanahimizwa kulala chini ya vyandarua vilivyotibiwa na dawa za kuua wadudu na kutumia dawa za kuzuia malaria ili kuepuka malaria, ambayo inahatarisha maisha ya mama na mtoto.",Health
"""Do not download apps from random websites. Always use Google Play Store or Apple App Store. Unverified apps may contain malware.""","""Usipakue programu kutoka kwa tovuti zisizo rasmi. Tumia Duka la Google Play au Duka la Programu la Apple kila wakati. Programu ambazo hazijathibitishwa zinaweza kuwa na programu hasidi.""",Security
Access free resources! Distribute free textbooks to rural schools.,Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,Education
Terror threats remain high; avoid high‑profile crowded areas.,Vitisho vya ugaidi vinabaki juu; epuka maeneo yenye msongamano mkubwa.,Security
Support special needs education 2024.,Kusaidia elimu ya mahitaji maalum 2024.,Education
"Ensure safety! Schools, prevent trafficking risks.","Hakikisha usalama! Shule, zuia hatari za usafirishaji haramu.",Education
Nyeri (Kieni) County: Drought Early Warning Bulletin for October 2024,Kaunti ya Nyeri (Kieni): Taarifa ya Onyo la Mapema kuhusu Ukame Oktoba 2024,Disaster/Health
Kilifi County: Drought Early Warning Bulletin for October 2023,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2023,Disaster/Health
USAID Keneya Nieta (Household and Community Health),USAID Keneya Nieta (Afya ya Kaya na Jamii),Disaster/Health
Ksh 402.7 billion Investing in Critical Infrastructure Ksh 656.6 billion Enhancing Access to Quality Education Outcomes.,Ksh 402.7 bilioni Kuwekeza katika Miundombinu Muhimu Ksh 656.6 bilioni Kuimarisha Ufikiaji wa Matokeo Bora ya Elimu.,Education
"The project is aimed at ensuring 600+ women: have enhanced leadership, financial management and business skills; can develop and launch climate-resilient entrepreneurial initiatives in selected, sustainable value chains; and, are connected with markets and financial support to scale and sustain their enterprises.","Mradi unalenga kuhakikisha wanawake 600+: wameimarishwa uongozi, usimamizi wa fedha na ujuzi wa biashara; inaweza kuendeleza na kuzindua mipango ya ujasiriamali inayostahimili hali ya hewa katika minyororo iliyochaguliwa na endelevu ya thamani; na, zimeunganishwa na masoko na usaidizi wa kifedha ili kuongeza na kuendeleza biashara zao.",Disaster/Health
Learn how corruption affects services and educate your community to prevent it,Jifunze jinsi rushwa inavyoathiri huduma na uelimishe jamii yako ili kuizuia,Security
"All COVID-19 vaccines are safe for use by adults, breastfeeding mothers and as per current WHO guidelines, can also be used by pregnant women upon recommendation by a qualified physician.","Chanjo zote za COVID-19 ni salama kwa matumizi ya watu wazima, akina mama wanaonyonyesha na kulingana na miongozo ya sasa ya WHO, zinaweza pia kutumiwa na wanawake wajawazito kwa mapendekezo ya daktari aliyehitimu.",Health
Veterinary department announces livestock vaccination drive across Laikipia and Kajiado.,Idara ya mifugo yatangaza kampeni ya chanjo ya mifugo kote Laikipia na Kajiado.,Agriculture
Daily iron supplements help prevent anemia in pregnancy and ensure healthy fetal development.,Virutubisho vya chuma vya kila siku husaidia kuzuia upungufu wa damu wakati wa ujauzito na kuhakikisha ukuaji mzuri wa fetasi.,Health
The County Government of Kericho is advising all residents to remain on high alert due to the ongoing heavy rains being experienced across the county.,Serikali ya Kaunti ya Kericho inawashauri wakazi wote kuendelea kuwa macho kutokana na mvua kubwa inayoendelea kunyesha kote kaunti.,Governance
Kenya: Baringo Social Unrest - DREF Final Report (MDRKE059),Kenya: Machafuko ya Kijamii ya Baringo - Ripoti ya Mwisho ya DREF (MDRKE059),Disaster/Health
Embedding Peace: Key considerations for strengthening an infrastructure for building and sustaining positive peace (i4p),Kupachika Amani: Mambo muhimu ya kuzingatia katika kuimarisha miundombinu ya kujenga na kudumisha amani chanya (i4p),Disaster/Health
"Protect schools! Communities, guard against banditry.","Linda shule! Jamii, jilinde dhidi ya ujambazi.",Education
"ICTs and digital technologies also lend themselves to multiple use cases that can allow farmers to access their peers, potential buyers and sellers, welfare ...","Teknolojia za TEHAMA na teknolojia za kidijitali pia huchangia katika matumizi mengi ambayo yanaweza kuwaruhusu wakulima kufikia wenzao, wanunuzi na wauzaji watarajiwa, ustawi ...",Agriculture
You are most welcome to Integrity Centre or any of our regional offices. You can visit to report corruption or share knowledge on how best we can fight corruption.,Karibu sana katika Kituo cha Uadilifu au ofisi yoyote ya mkoa wetu. Unaweza kutembelea ili kuripoti ufisadi au kushiriki maarifa kuhusu jinsi tunavyoweza kupambana na ufisadi.,Governance
Navigate roundabouts safely; know the rules.,Zunguka kwenye mizunguko kwa usalama; jua sheria.,Security
Women in agriculture face distinct risks. Cooperatives should adopt prevention policies and reporting options.,Wanawake katika kilimo wanakabiliwa na hatari tofauti. Vyama vya ushirika vinapaswa kupitisha sera za kuzuia na chaguzi za kuripoti.,Security
Announcement about SNV pledging continued support to Kenya’s food systems transformation during Nairobi National Summit.,Tangazo kuhusu SNV kuahidi kuendelea kuunga mkono mabadiliko ya mifumo ya chakula nchini Kenya wakati wa Mkutano wa Kitaifa wa Nairobi.,Health
Public advisory on adopting drip irrigation to conserve water in dry zones.,Ushauri wa umma kuhusu kutumia umwagiliaji wa matone ili kuhifadhi maji katika maeneo makavu.,Agriculture
Ensure school vans are properly licensed and drivers vetted to prevent accidents and kidnappings.,Hakikisha magari ya shule yana leseni ipasavyo na madereva wamechunguzwa ili kuzuia ajali na utekaji nyara.,Security
Baringo County: Drought Early Warning Bulletin for March 2024,Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,Disaster/Health
Revised Turkana curfew aims to maintain peace.,Amri ya kutotoka nje iliyorekebishwa Turkana inalenga kudumisha amani.,Security
Start with mashed fruits and vegetables. Introduce one new food at a time to watch for allergies.,Anza na matunda na mboga zilizosagwa. Anzisha chakula kipya kimoja baada ya kingine ili uangalie mizio.,Health
NPS published an official Text for community policing roles and expectations to help residents and officers work together more effectively,NPS ilichapisha Nakala rasmi ya majukumu na matarajio ya polisi jamii ili kuwasaidia wakazi na maafisa kufanya kazi pamoja kwa ufanisi zaidi,Security
Welcome refugees! Enroll refugee children in local schools.,Karibuni wakimbizi! Waandikishe watoto wakimbizi katika shule za mitaa.,Education
Exploring new approaches to urban refugee hosting in Kenya,Kuchunguza mbinu mpya za kuwahifadhi wakimbizi mijini nchini Kenya,Disaster/Health
Meru (Meru-North) County: Drought Early Warning Bulletin for April 2024,Kaunti ya Meru (Meru-Kaskazini): Taarifa ya Onyo la Mapema kuhusu Ukame Aprili 2024,Disaster/Health
Ensure safe drinking! Provide clean water in schools.,Hakikisha unywaji salama! Toa maji safi shuleni.,Education
International Medical Corps Receives $6.3 Million Grant from Takeda to Improve Health Delivery in Kenya and Somalia,Kikosi cha Kimataifa cha Matibabu Chapokea Ruzuku ya $6.3 Milioni kutoka Takeda ili Kuboresha Utoaji wa Afya nchini Kenya na Somalia,Disaster/Health
"Kenya Economic Update (KEU) Edition No. 26: Continued Rebound, but Storms Cloud the Horizon - Policies to Accelerate the Productive Economy for Inclusive Growth","Toleo la 26 la Usasisho wa Uchumi wa Kenya (KEU): Inaendelea Kurudishwa, lakini Dhoruba Hufunika Upeo - Sera za Kuharakisha Uchumi Wenye Tija kwa Ukuaji Jumuishi",Disaster/Health
CALL FOR CONSERVATION Embu residents urged to adopt a tree planting culture,WITO WA UHIFADHI Wakazi wa Embu wahimizwa kufuata utamaduni wa upandaji miti,Governance
"EHAGL Region: Community Feedback Analysis Report, January - March 2025","Eneo la EHAGL: Ripoti ya Uchambuzi wa Maoni ya Jamii, Januari - Machi 2025",Disaster/Health
Baringo County: Drought Early Warning Bulletin for November 2023,Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame ya Novemba 2023,Disaster/Health
Update your phones software monthly to fix security vulnerabilities.,Sasisha programu yako ya simu kila mwezi ili kurekebisha udhaifu wa usalama.,Security
Engage students! Create forums to address unrest.,Washirikishe wanafunzi! Unda majukwaa ya kushughulikia machafuko.,Education
"Many farmers rely on digital services, especially those delivered through platforms accessible via mobile phones, to access this information.","Wakulima wengi hutegemea huduma za kidijitali, hasa zile zinazotolewa kupitia mifumo inayopatikana kupitia simu za mkononi, ili kupata taarifa hii.",Agriculture
Use a VPN on public networks to encrypt your internet traffic.,Tumia VPN kwenye mitandao ya umma ili kuficha trafiki yako ya intaneti.,Security
"EHAGL Region: Community Feedback Analysis Report, April - June 2024","Mkoa wa EHAGL: Ripoti ya Uchambuzi wa Maoni ya Jamii, Aprili - Juni 2024",Disaster/Health
Register your childs birth early to secure legal identity and access to services.,Sajili kuzaliwa kwa mtoto wako mapema ili kupata utambulisho halali na upatikanaji wa huduma.,Health
UNICEF Kenya Humanitarian Situation Report No. 7 27 November 2023 (Reporting period 1 July - 30 September 2023),Ripoti ya Hali ya Kibinadamu ya UNICEF Kenya No. 7 27 Novemba 2023 (Kipindi cha kuripoti 1 Julai - 30 Septemba 2023),Disaster/Health
"36 cases of Mpox reported so far in Kenya, two persons admitted and one patient receiving home-based care.","Visa 36 vya Mpox vimeripotiwa hadi sasa nchini Kenya, watu wawili waliolazwa na mgonjwa mmoja anayepatiwa huduma ya nyumbani.",Health
"While populations in continental regions are predominantly exposed to seasonal cumulative excess heat, many populations in tropical and subtropical climates are chronically exposed to high temperatures and high humidity.","Ingawa idadi ya watu katika maeneo ya bara huathiriwa zaidi na joto la ziada la msimu, idadi kubwa ya watu katika hali ya hewa ya kitropiki na ya tropiki huwa katika hali ya joto ya juu na unyevu mwingi.",Disaster/Health
Garissa County: Drought Early Warning Bulletin for January 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2023,Disaster/Health
Noncommunicable diseases and mental health in the WHO African Region progress report 2024,Magonjwa yasiyoambukiza na afya ya akili katika ripoti ya maendeleo ya WHO Kanda ya Afrika 2024,Health
Safe school transport: All matatus ferrying students must have speed governors!,Usafiri salama shuleni: Matatu zote zinazosafirisha wanafunzi lazima ziwe na vidhibiti mwendo!,Education
Meru (Meru-North) County: Drought Early Warning Bulletin for October 2023,Kaunti ya Meru (Meru-Kaskazini): Taarifa ya Onyo la Mapema kuhusu Ukame Oktoba 2023,Disaster/Health
A section of the Isiolo “Meru community has raised concerns over what they describe as rampant bad governance within the county administration. The leaders accused local officials of mismanagement and failing to fulfill key development pledges.,Sehemu ya jamii ya Isiolo “Meru” imeibua wasiwasi kuhusu kile wanachokielezea kama utawala mbaya uliokithiri ndani ya utawala wa kaunti. Viongozi hao waliwashutumu maafisa wa eneo hilo kwa usimamizi mbaya na kushindwa kutimiza ahadi muhimu za maendeleo.,Governance
WASH in Kenya- 27 August 2025,WASH nchini Kenya- 27 Agosti 2025,Disaster/Health
