English,Kiswahili,Domain
"6 Years on: how a water access project impacted lives in Churo, Kenya","Miaka 6: jinsi mradi wa upatikanaji wa maji ulivyoathiri maisha katika Churo, Kenya",Disaster/Health
Kenya: Polio outbreak - DREF Final Report (MDRKE062),"Ripoti ya Kanda ya 2024: Programu ya Kikanda ya Kuimarisha Hali ya Hewa ya Uwekezaji kwa Uwezeshaji wa Kiuchumi kwa Wakimbizi, Waliorudishwa na Mwenyeji/Wanawake wa Jumuiya ya Kurudi Mashariki na Pembe ya Afrika na Ukanda wa Maziwa Makuu.",Disaster/Health
"Regional Report 2024: Regional Program on Enhancing the Investment Climate for the Economic Empowerment of Refugee, Returnee and Host/Return Community Women in the East and Horn of Africa and Great Lakes Region","Ripoti ya Kanda ya 2024: Programu ya Kikanda ya Kuimarisha Hali ya Hewa ya Uwekezaji kwa Uwezeshaji wa Kiuchumi kwa Wakimbizi, Waliorudishwa na Mwenyeji/Wanawake wa Jumuiya ya Kurudi Mashariki na Pembe ya Afrika na Ukanda wa Maziwa Makuu.",Disaster/Health
Kenya: Baringo Social Unrest - DREF Final Report (MDRKE059),Kenya: Machafuko ya Kijamii ya Baringo - Ripoti ya Mwisho ya DREF (MDRKE059),Disaster/Health
School Health & Nutrition Facility Progress Report 2024 (August-December),Ripoti ya Maendeleo ya Kituo cha Afya na Lishe 2024 (Agosti-Desemba),Health
Kenya Annual Country Report 2024 - Country Strategic Plan 2023 - 2027,Ripoti ya Mwaka ya Nchi ya Kenya 2024 - Mpango Mkakati wa Nchi 2023 - 2027,Disaster/Health
KEN: Epidemic - 02-2025 - Cholera Outbreak field report #3 (2025-03-27),KEN: Janga - 02-2025 - Ripoti ya eneo la Mlipuko wa Kipindupindu #3 (2025-03-27),Disaster/Health
Synthesis report on the co-design of agroecological innovations in the Agroecological Living Landscapes (ALLs) in Kenya,Ripoti ya muhtasari wa muundo-shirikishi wa ubunifu wa ikolojia ya kilimo katika Mandhari Hai ya Kilimo (ALLs) nchini Kenya.,Disaster/Health
Kenya: Cholera Outbreak - DREF Final Report (MDRKE054),Kenya: Mlipuko wa Kipindupindu - Ripoti ya Mwisho ya DREF (MDRKE054),Disaster/Health
Urgent Investment Needed in Climate Adaptation in Northern Kenya,Uwekezaji wa Haraka Unaohitajika katika Kukabiliana na Hali ya Hewa Kaskazini mwa Kenya,Disaster/Health
"“Under One Tree”? Exploring Pastoral, National, and International Approaches to Humanitarian Action: Phase 1 Synthesis Report in the Diverse Perspectives on Humanitarian Action in the Pastoral Drylands Series","“Chini ya Mti Mmoja”? Kuchunguza Mbinu za Kichungaji, Kitaifa na Kimataifa za Utekelezaji wa Kibinadamu: Ripoti ya Awamu ya 1 ya Awamu katika Mitazamo Mbalimbali ya Hatua za Kibinadamu katika Msururu wa Maeneo Kavu ya Kichungaji.",Disaster/Health
IGAD Strengthens Conflict Sensitive Land Use and Management in the Somali/Mandera Cluster,IGAD Yaimarisha Matumizi na Usimamizi Nyeti wa Ardhi katika Migogoro katika Nguzo ya Somalia/Mandera,Disaster/Health
Media Advisory - UNDP Kenya in collaboration with the National Treasury and Planning will host the launch of the Global Human Development Report 2023/2024 - Breaking the Gridlock: Reimagining Cooperation in a Polarized World,Ushauri wa Vyombo vya Habari - UNDP Kenya kwa ushirikiano na Hazina ya Kitaifa na Mipango itakuwa mwenyeji wa uzinduzi wa Ripoti ya Maendeleo ya Binadamu Duniani 2023/2024 - Breaking the Gridlock: Reimagining Cooperation in a Polarized World,Disaster/Health
"IGAD Climate Prediction and Applications Centre (ICPAC) Technical Report on the Ongoing Flood Impact in the IGAD Region (As of April 26th, 2024)",Ripoti ya Kiufundi ya Kituo cha Utabiri wa Hali ya Hewa na Maombi cha IGAD (ICPAC) kuhusu Athari ya Mafuriko inayoendelea katika Mkoa wa IGAD (Kuanzia tarehe 26 Aprili 2024),Disaster/Health
The Bill & Melinda Gates Foundation and European Investment Bank Launch Pilot in Africa to Improve Women Entrepreneurs’ Access to Capital,Wakfu wa Bill & Melinda Gates na Benki ya Uwekezaji ya Ulaya Wazindua Majaribio barani Afrika ili Kuboresha Upatikanaji wa Wajasiriamali Wanawake kwa Mitaji.,Disaster/Health
Kenya Annual Country Report 2023 - Country Strategic Plan 2023 - 2027,Ripoti ya Mwaka ya Nchi ya Kenya 2023 - Mpango Mkakati wa Nchi 2018 - 2023,Disaster/Health
Kenya Annual Country Report 2023 - Country Strategic Plan 2018 - 2023,Ripoti ya Mwaka ya Nchi ya Kenya 2023 - Mpango Mkakati wa Nchi 2018 - 2023,Disaster/Health
"IASC Deputy Chiefs visit Mathare informal settlement in Nairobi, Kenya",Njia ya Kujitegemea kwa Watu Walioathiriwa na Uhamisho: Ripoti ya Muhtasari wa Vikwazo vya Ushirikishwaji wa Kiuchumi na Tathmini ya Soko nchini Kenya na Sudan Kusini.,Disaster/Health
A Path to Self-Reliance for Displacement-Affected People: Summary Report on Economic Inclusion Barriers and Market Assessments in Kenya and South Sudan,Njia ya Kujitegemea kwa Watu Walioathiriwa na Uhamisho: Ripoti ya Muhtasari wa Vikwazo vya Ushirikishwaji wa Kiuchumi na Tathmini ya Soko nchini Kenya na Sudan Kusini.,Disaster/Health
"Migrants’ Right to Health – Legal and Policy Instruments Related to Migrants’ Access to Health Care, Social Protection and Labour in Selected East African Countries","Haki ya Afya ya Wahamiaji - Vyombo vya Kisheria na Sera vinavyohusiana na Upatikanaji wa Wahamiaji kwa Huduma za Afya, Ulinzi wa Jamii na Kazi katika Nchi Zilizochaguliwa za Afrika Mashariki.",Health
Kenya: Floods - DREF Final Report (MDRKE056),Kenya: Mafuriko - Ripoti ya Mwisho ya DREF (MDRKE056),Disaster/Health
Kenya: ICC to encourage domestic accountability efforts despite conclusion of investigation,Kenya: ICC kuhimiza juhudi za uwajibikaji wa ndani licha ya kukamilika kwa uchunguzi,Disaster/Health
The Community Land Act (CLA) 2016 and Pastoralists’ Access to Land for Adaptation,Kurejesha maisha ya utotoni: Upatikanaji wa elimu na ulinzi kwa watoto katika kambi za wakimbizi za Kenya,Disaster/Health
Recovering childhood: Access to education & protection for children in Kenya's refugee camps,Kurejesha maisha ya utotoni: Upatikanaji wa elimu na ulinzi kwa watoto katika kambi za wakimbizi za Kenya,Disaster/Health
Humanitarian crisis deepens as flooding escalates in ASAL Kenya: AHN Call for Collective and Urgent Action,Kipaumbele cha dharura cha msaada wa chakula na malazi katika mafuriko yanayoendelea kaskazini mwa Kenya,Disaster/Health
A ground breaking opportunity to increase access for registration of community groups in Dadaab,Kipaumbele cha dharura cha msaada wa chakula na malazi katika mafuriko yanayoendelea kaskazini mwa Kenya,Disaster/Health
Urgent food and shelter assistance priority in the ongoing flash floods in northern Kenya,Kipaumbele cha dharura cha msaada wa chakula na malazi katika mafuriko yanayoendelea kaskazini mwa Kenya,Disaster/Health
Learning is a Lifeline: Access to Education for Refugee Children in Kenya,Kujifunza ni Njia ya Maisha: Upatikanaji wa Elimu kwa Watoto Wakimbizi nchini Kenya,Education
Kenya and Somalia WASH Response: UMR and Mr. Beast Water Access Project - Final Report,Kenya na Somalia WASH Response: UMR na Bw. Beast Water Access Project - Ripoti ya Mwisho,Disaster/Health
Kenya: Anticipatory Actions On Ebola Virus Disease DREF Final Report (MDRKE052),Kenya: Hatua za Kutarajia Kuhusu Ugonjwa wa Virusi vya Ebola Ripoti ya Mwisho ya DREF (MDRKE052),Health
"Media Advisory: UN Deputy Humanitarian chief to visit Southern, Eastern Africa","Ushauri wa Vyombo vya Habari: Naibu Mkuu wa Umoja wa Mataifa wa Misaada ya Kibinadamu kutembelea Kusini, Afrika Mashariki",Disaster/Health
Study on the Use of ICT in Education and Remote Learning during Crises and the Required Investment in Digital Transformation for African Countries - Country Profile Report Kenya,Utafiti juu ya Matumizi ya ICT katika Elimu na Mafunzo ya Mbali wakati wa Migogoro na Uwekezaji Unaohitajika katika Mabadiliko ya Kidijitali kwa Nchi za Afrika - Ripoti ya Wasifu wa Nchi Kenya,Education
Strong Women Strong World (SWSW): Beyond Access Learning Initiative,Kenya | Mafuriko ya Mto - Ripoti ya Mwaka ya Itifaki ya Hatua ya Mapema (8-09-2023) Operesheni №: MDRKE053,Education
Kenya | Riverine floods - Early Action Protocol Annual Report (8-09-2023) Operation №: MDRKE053,Utafiti kuhusu vikwazo vya kimfumo kuelekea upatikanaji na matumizi ya fedha za makazi nchini Kenya,Disaster/Health
Research on systemic barriers towards access and usage of housing finance in Kenya,Utafiti kuhusu vikwazo vya kimfumo kuelekea upatikanaji na matumizi ya fedha za makazi nchini Kenya,Disaster/Health
MIT researchers release report to CFK Africa on strengthening schools in informal settlements in Kenya,Watafiti wa MIT watoa ripoti kwa CFK Afrika juu ya kuimarisha shule katika makazi yasiyo rasmi nchini Kenya,Education
Amnesty International Kenya condemns the continued use of unlawful force against protestors,Amnesty International Kenya inalaani kuendelea kutumia nguvu kinyume cha sheria dhidi ya waandamanaji,Disaster/Health
"Kenyan Officials Must Protect the Right to Protest, Prevent Sexual Violence Amid Unrest: PHR","Maafisa wa Kenya Lazima Walinde Haki ya Kuandamana, Kuzuia Unyanyasaji wa Kijinsia Huku Machafuko: PHR",Security
Refugees’ Access to Work Permits and Business Licences in Kenya,Upatikanaji wa Wakimbizi wa Vibali vya Kazi na Leseni za Biashara nchini Kenya,Disaster/Health
Impact Case Study: Improving access to emergency surgery in Kenya,Uchunguzi wa Athari: Kuboresha ufikiaji wa upasuaji wa dharura nchini Kenya,Disaster/Health
Conflict-Sensitive Social Protection: Kenya Country Report 2022,Ulinzi wa Jamii Nyeti kwa Migogoro: Ripoti ya Nchi ya Kenya 2022,Disaster/Health
"Keeping Girls in the Picture Campaign: Stories and lessons from Kwale County, Kenya","Kuwaweka Wasichana Katika Kampeni ya Picha: Hadithi na masomo kutoka Kaunti ya Kwale, Kenya",Governance
Kenya Annual Country Report 2022 - Country Strategic Plan 2018 - 2023,Kenya: Hatua za matarajio kuelekea Uchaguzi Mkuu - Operesheni ya DREF - Ripoti ya Mwisho (MDRKE051),Disaster/Health
Partnerships and training helped prevent election violence,Kenya: Hatua za matarajio kuelekea Uchaguzi Mkuu - Operesheni ya DREF - Ripoti ya Mwisho (MDRKE051),Disaster/Health
Kenya: Anticipatory actions towards General Elections - DREF Operation - Final Report (MDRKE051),Kenya: Hatua za matarajio kuelekea Uchaguzi Mkuu - Operesheni ya DREF - Ripoti ya Mwisho (MDRKE051),Governance
Pre-crisis Market Mapping and Analysis Report for Busia County,Ripoti ya Ramani na Uchambuzi wa Soko kabla ya mgogoro wa Kaunti ya Busia,Governance
Pre-crisis Market Mapping and Analysis Report for the Counties of West Pokot and Kitui (Sept - Oct 2021),Ripoti ya Ramani ya Masoko na Uchambuzi wa kabla ya mgogoro kwa Kaunti za Pokot Magharibi na Kitui (Sep - Okt 2021),Disaster/Health
"As drought tightens its grip on Kenya, a motorcycle ambulance is helping women to access critical health care","Huku ukame ukizidi kushika kasi nchini Kenya, ambulensi ya pikipiki inawasaidia wanawake kupata huduma muhimu za afya",Disaster/Health
Motorcycle ambulance helps pregnant women in drought-stricken community to access life-saving maternal health care,Ambulance ya pikipiki huwasaidia wanawake wajawazito katika jamii iliyokumbwa na ukame kupata huduma ya afya ya uzazi ya kuokoa maisha,Health
Use of Data in Anticipatory Risk Management,Matumizi ya Data katika Usimamizi wa Hatari wa Kutarajia,Disaster/Health
Can digital adherence technologies reduce inequity in tuberculosis treatment success? Evidence from a randomised controlled trial,"Je, teknolojia za ufuasi za kidijitali zinaweza kupunguza ukosefu wa usawa katika mafanikio ya matibabu ya kifua kikuu? Ushahidi kutoka kwa jaribio lililodhibitiwa nasibu",Health
Hunger in Kenya/Ethiopia: Malteser International expands aid to prevent conflicts,Njaa nchini Kenya/Ethiopia: Malteser International inapanua misaada ili kuzuia migogoro,Disaster/Health
United Nations and partners call for $472.6 million to respond in 2023 as the drought in Kenya deepens,Umoja wa Mataifa na washirika watoa wito wa dola milioni 472.6 kujibu mwaka wa 2023 huku ukame ukizidi kuongezeka nchini Kenya.,Disaster/Health
Worsening drought in Kenya leads to increase in school dropouts,"Ripoti ya Uchunguzi wa Mazingira NEAT+, Mradi wa Ugavi wa Maji kwa Jamii, Makazi ya Wakimbizi ya Kalobeyei, Kakuma, Kenya",Disaster/Health
"Environmental Screening Report NEAT+, Community Water Supply Project, Kalobeyei Refugee Settlement, Kakuma, Kenya","Ripoti ya Uchunguzi wa Mazingira NEAT+, Mradi wa Ugavi wa Maji kwa Jamii, Makazi ya Wakimbizi ya Kalobeyei, Kakuma, Kenya",Disaster/Health
Rapid Review of Healthy Ageing and Long-term Care Systems in East and Southern Africa: Country Summary Report – Kenya,Mapitio ya Haraka ya Mifumo ya Kuzeeka Kiafya na ya Muda Mrefu katika Afrika Mashariki na Kusini: Ripoti ya Muhtasari wa Nchi - Kenya,Health
Young Kenyans call for urgent action on hunger crisis,Vijana wa Kenya watoa wito wa kuchukuliwa hatua za haraka kukabiliana na baa la njaa,Disaster/Health
Ministry of health issues cholera alert as 61 cases are confirmed,Ministry of health issues cholera alert as 61 cases are confirmed,Disaster/Health
"Slovakia and UNESCO Partnership: Access to clean, affordable Water in Turkana",Ushirikiano wa Slovakia na UNESCO: Upatikanaji wa Maji safi na ya bei nafuu Turkana,Disaster/Health
Preventing electoral violence through early warning and rapid response in Kenya,Kuzuia ghasia za uchaguzi kupitia onyo la mapema na mwitikio wa haraka nchini Kenya,Disaster/Health
Empowering young people to prevent digital gender-based violence in Kenya’s elections,Kuwawezesha vijana kuzuia unyanyasaji wa kijinsia wa kidijitali katika uchaguzi wa Kenya,Security
"Kenya: Anticipatory actions towards General Elections - Operation Update Report - DREF n° MDRKE051, Operation update n° 1","Kenya: Hatua zinazotarajiwa kuelekea Uchaguzi Mkuu - Ripoti ya Usasishaji wa Operesheni - DREF n° MDRKE051, sasisho la operesheni n° 1",Governance
Government of Kenya Must Avoid Repeat of History and Prevent Electoral Violence: PHR,Serikali ya Kenya Lazima Iepuke Kurudiwa kwa Historia na Kuzuia Ghasia za Uchaguzi: PHR,Security
Kenyan Elections - Another Test in the Country’s Democratic Journey,Kufuatilia Athari za Mishtuko kwa Kaya nchini Kenya,Governance
Monitoring Impacts of Shocks on Households in Kenya,Kufuatilia Athari za Mishtuko kwa Kaya nchini Kenya,Disaster/Health
Human Appeal issues red alert for aid to Horn of Africa - Catastrophic famine conditions leading to one death every 48 seconds in Somalia and Kenya,Rufaa ya Kibinadamu yatoa tahadhari nyekundu ya msaada kwa Pembe ya Afrika - Hali mbaya ya njaa na kusababisha kifo cha mtu mmoja kila baada ya sekunde 48 nchini Somalia na Kenya,Disaster/Health
Knowledge Attitude & Practice (KAP) Survey of WASH Services Project in Dadaab Refugee Camps (29/03/2021),Mtazamo wa Maarifa na Mazoezi (KAP) ya Mradi wa Huduma za WASH katika Kambi za Wakimbizi za Dadaab (29/03/2021),Disaster/Health
"Malteser International: ""The need for humanitarian aid has never been greater""","Malteser International: ""Haja ya misaada ya kibinadamu haijawahi kuwa kubwa zaidi""",Disaster/Health
Protection de l'environnement par les femmes dans le nord du Kenya,Protection de l'environnement par les femmes dans le nord du Kenya,Disaster/Health
UPCOMING LAUNCH OF THE FY 2027/28 AND MEDIUM-TERM BUDGET PREPARATION PROCESS THE NATIONAL TREASURY The National Treasury is pleased to announce the official launch of the FY 2027/28 and Medium-Term Budget preparation process.,UZINDUZI UJAO WA MCHAKATO WA MAANDALIZI YA BAJETI YA MWAKA 2027/28 NA WA MUDA WA KATI HAZINA YA TAIFA Hazina ya Taifa inafuraha kutangaza uzinduzi rasmi wa mchakato wa maandalizi ya Bajeti ya Mwaka wa 2027/2028 na Muda wa Kati.,Governance
To introduce the definition of new terms Section 4A (1) insert a new sub-paragraph in paragraph (h)— (ix) credit guarantee companies and agents insert a new paragraph immediately after paragraph (h)— (i) license and supervise credit guarantee companies.,JAMHURI YA KENYA HAZINA YA KITAIFA NA MIPANGO YA UCHUMI SERA YA TAIFA YA USHURI Karatasi ya Kipindi Na.,Disaster/Health
"REPUBLIC OF KENYA THE NATIONAL TREASURY AND ECONOMIC PLANNING NATIONAL TAX POLICY Sessional Paper No. 02 of 2023 ii © Government of the Republic of Kenya, 2023 To obtain copies of the National Tax Policy, please contact: Public Relations Office The National Treasury Treasury Building Harambee Avenue P.",JAMHURI YA KENYA HAZINA YA KITAIFA NA MIPANGO YA UCHUMI SERA YA TAIFA YA USHURI Karatasi ya Kipindi Na.,Governance
"CONTENTS 0 Financial Year 2024/25 Budget THEME: Sustaining Bottom-Up Economic Transformation Agenda, Fiscal Consolidation and investing in Climate Change Mitigation and Adaptation for Improved Livelihoods.","YALIYOMO 0 Mwaka wa Fedha wa 2024/25 MANdhari ya Bajeti: Kudumisha Ajenda ya Mabadiliko ya Kiuchumi ya Chini-juu, Uimarishaji wa Fedha na kuwekeza katika Kukabiliana na Mabadiliko ya Tabianchi na Marekebisho kwa ajili ya Maisha Bora.",Disaster/Health
"MAUDHUI:Kudumisha Ajenda ya Ustawi wa Uchumi Kupitia Mfumo wa Chini Juu, Kuimarisha Matumizi ya Fedha na Kuwekeza Katika Kukabiliana na Adhari za M abadiliko ya Tabianchi ili kuboresha Maisha.",Hazina ya Kitaifa na Mipango ya Kiuchumi P.O.,Disaster/Health
The National Treasury and Economic Planning P.O.,Hazina ya Kitaifa na Mipango ya Kiuchumi P.O.,Governance
"Achievement of this goal requires a sustained annual Gross Domestic Product (GDP) growth rate of 10 percent based on the contribution of six (6) high potential business -oriented priority sectors namely Tourism and Mining, Agriculture, Manufacturing, Wholesale and Retail, Business Process outsourcing and Financial Services.","Mafanikio ya lengo hili yanahitaji ukuaji endelevu wa Pato la Taifa (GDP) kwa mwaka wa asilimia 10 kulingana na mchango wa sekta sita (6) za kipaumbele zenye mwelekeo wa juu wa biashara ambazo ni Utalii na Madini, Kilimo, Uzalishaji, Jumla na Reja reja, Utoaji wa huduma za Mchakato wa Biashara na Huduma za Kifedha.",Disaster/Health
"Micro Small and Medium Enterprises (MSMEs) therefore, play a critical role as key drivers of business and economic growth, employment creation, poverty alleviation, innovation and competitiveness.","Kwa hivyo, Biashara Ndogo Ndogo na za Kati (MSMEs) zina jukumu muhimu kama vichochezi muhimu vya ukuaji wa biashara na uchumi, kuunda ajira, kupunguza umaskini, uvumbuzi na ushindani.",Disaster/Health
THE NATIONAL TREASURY VOTE 1071 EXPENDITURE REQUISITION FORM Requisitioning Officer………………………………………… Department………………………… Signature………………….,HAZINA YA TAIFA KURA 1071 FOMU YA MAHITAJI YA MATUMIZI Afisa Mahitaji ……………………………………………………………………………………………………………………………………………………………………………………………………………………………………,Governance
"I certify that this expenditure is authorised, necessary for official purposes, and within approved budget provisions.","Ili kupata hitimisho lenye sababu nzuri na kutoa mapendekezo kuhusu miswada/madai haya), Kamati inahitajika kuchunguza na kuchanganua hisa iliyopo ya Miswada/madai Yanayosubiri ya Serikali ya Kitaifa (bila kujumuisha bili/dai/dai) kutoka kwa Serikali za Kaunti.",Governance
"In order to come up with well -reasoned conclusions and make recommendations regarding these bills/claim(s), the Committee is required to scrutinize and analyse the existing stock of National Government Pending Bills/claim(s) (excluding any bill(s)/ claim(s ) from County Governments.","Ili kupata hitimisho lenye sababu nzuri na kutoa mapendekezo kuhusu miswada/madai haya), Kamati inahitajika kuchunguza na kuchanganua hisa iliyopo ya Miswada/madai Yanayosubiri ya Serikali ya Kitaifa (bila kujumuisha bili/dai/dai) kutoka kwa Serikali za Kaunti.",Governance
"The National Treasury and Economic Planning has prepared draft Government Investment Regulations, 2024 for consideration by stakeholders.","Hazina ya Kitaifa na Mipango ya Kiuchumi imetayarisha rasimu ya Kanuni za Uwekezaji za Serikali, 2024 kwa ajili ya kuzingatiwa na wadau.",Governance
"CPA JOHN MBADI NG’ONGO, EGH CABINET SECRETARY","CPA JOHN MBADI NG’ONGO, EGH KATIBU WA BARAZA LA MAWAZIRI",Disaster/Health
The approved BROP will subsequently be submitted to Parliament.,"Ili kukamilisha waraka huo, Hazina ya Taifa inatarajiwa kwa masharti ya Sheria ya USM kutafuta maoni kutoka kwa taasisi zilizoorodheshwa katika Sheria ya USM, umma na watu wengine wenye nia au makundi yoyote kama ilivyoainishwa katika vifungu husika vya Sheria hiyo.",Governance
